"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"3207","Expeditors International Of Washington, Inc.",16224220363,137.8,94.95,137.8,94.95,-0.106837595022914,167398064,0,1405542,1302009,116.76,101.89,17500,8.27,1.15734615175624,0.0119412520816781,NA,2021-11-30,2022-05-03,11.461894777844,0.874481783786119,1.76490070948288,0.816079763602329,0.386054506893805,-0.101917367502233,-0.278278352818527,-0.1564244302688,-0.224267648471266,-0.0265166733627963,-0.0265166733627963,-0.0352379056340831,"EXPD"
"3206","Exlservice Hldgs Inc",4761664255,149.69,91.59,149.69,91.59,0.541603956138465,33205469,0,314182,268822,130.14,132.62,31900,3.35,0,0,NA,NA,2022-04-28,41.4930920249569,0.922345566937062,5.81558935361217,2.08719052744887,1.58052906244376,0.545092123693568,-0.00946328659252615,0.162734127949404,0.0806330067822156,0.14591657343775,0.14591657343775,-0.00912106135986723,"EXLS"
"3205","Exlservice Hldgs Inc",4761664255,149.69,91.59,149.69,91.59,0.541603956138465,33205469,0,314182,268822,130.14,132.62,31900,3.35,0,0,NA,NA,2022-04-28,41.4930920249569,0.922345566937062,5.81558935361217,2.08719052744887,1.58052906244376,0.545092123693568,-0.00946328659252615,0.162734127949404,0.0806330067822156,0.14591657343775,0.14591657343775,-0.00912106135986723,"EXLS"
"3204","Exlservice Hldgs Inc",4761664255,149.69,91.59,149.69,91.59,0.541603956138465,33205469,0,314182,268822,130.14,132.62,31900,3.35,0,0,NA,NA,2022-04-28,41.4930920249569,0.922345566937062,5.81558935361217,2.08719052744887,1.58052906244376,0.545092123693568,-0.00946328659252615,0.162734127949404,0.0806330067822156,0.14591657343775,0.14591657343775,-0.00912106135986723,"EXLS"
"3203","Exlservice Hldgs Inc",4761664255,149.69,91.59,149.69,91.59,0.541603956138465,33205469,0,314182,268822,130.14,132.62,31900,3.35,0,0,NA,NA,2022-04-28,41.4930920249569,0.922345566937062,5.81558935361217,2.08719052744887,1.58052906244376,0.545092123693568,-0.00946328659252615,0.162734127949404,0.0806330067822156,0.14591657343775,0.14591657343775,-0.00912106135986723,"EXLS"
"3202","Exlservice Hldgs Inc",4761664255,149.69,91.59,149.69,91.59,0.541603956138465,33205469,0,314182,268822,130.14,132.62,31900,3.35,0,0,NA,NA,2022-04-28,41.4930920249569,0.922345566937062,5.81558935361217,2.08719052744887,1.58052906244376,0.545092123693568,-0.00946328659252615,0.162734127949404,0.0806330067822156,0.14591657343775,0.14591657343775,-0.00912106135986723,"EXLS"
"3201","Exelixis Inc",7152444616,25.77,15.5,25.77,15.5,-0.0277898393399914,319448174,0,1741739,1931583,19.56,21.38,773,0.7168,0,0,NA,NA,2022-05-10,30.9545215627772,0.662251670673563,1.48777777777778,0.0682251908396947,0.242508324084351,-0.0315743944636678,0.224835886214442,0.0332256575911398,0.225506294471812,0.0666984278227729,0.0666984278227729,-0.0332469775474956,"EXEL"
"3200","Exelixis Inc",7152444616,25.77,15.5,25.77,15.5,-0.0277898393399914,319448174,0,1741739,1931583,19.56,21.38,773,0.7168,0,0,NA,NA,2022-05-10,30.9545215627772,0.662251670673563,1.48777777777778,0.0682251908396947,0.242508324084351,-0.0315743944636678,0.224835886214442,0.0332256575911398,0.225506294471812,0.0666984278227729,0.0666984278227729,-0.0332469775474956,"EXEL"
"3199","Exelixis Inc",7152444616,25.77,15.5,25.77,15.5,-0.0277898393399914,319448174,0,1741739,1931583,19.56,21.38,773,0.7168,0,0,NA,NA,2022-05-10,30.9545215627772,0.662251670673563,1.48777777777778,0.0682251908396947,0.242508324084351,-0.0315743944636678,0.224835886214442,0.0332256575911398,0.225506294471812,0.0666984278227729,0.0666984278227729,-0.0332469775474956,"EXEL"
"3198","Exelixis Inc",7152444616,25.77,15.5,25.77,15.5,-0.0277898393399914,319448174,0,1741739,1931583,19.56,21.38,773,0.7168,0,0,NA,NA,2022-05-10,30.9545215627772,0.662251670673563,1.48777777777778,0.0682251908396947,0.242508324084351,-0.0315743944636678,0.224835886214442,0.0332256575911398,0.225506294471812,0.0666984278227729,0.0666984278227729,-0.0332469775474956,"EXEL"
"3197","Exelixis Inc",7152444616,25.77,15.5,25.77,15.5,-0.0277898393399914,319448174,0,1741739,1931583,19.56,21.38,773,0.7168,0,0,NA,NA,2022-05-10,30.9545215627772,0.662251670673563,1.48777777777778,0.0682251908396947,0.242508324084351,-0.0315743944636678,0.224835886214442,0.0332256575911398,0.225506294471812,0.0666984278227729,0.0666984278227729,-0.0332469775474956,"EXEL"
"3196","Exelon Corp.",47281807336,50.29,29.65,50.29,30.51,0.561786730640352,980136968,0,9031331,8141214,39.95,44.75,64281,1.24,1.14295881831953,0.023693176167486,NA,2022-02-24,2022-05-04,27.7150101619695,0.432715569236352,0.892781612081785,1.20224698583422,0.856455647488936,0.55865304460772,0.181168877277435,0.444289756141375,0.226616354376178,0.105661242264497,0.105661242264497,0.0190114068441065,"EXC"
"3195","Exelon Corp.",47281807336,50.29,29.65,50.29,30.51,0.561786730640352,980136968,0,9031331,8141214,39.95,44.75,64281,1.24,1.14295881831953,0.023693176167486,NA,2022-02-24,2022-05-04,27.7150101619695,0.432715569236352,0.892781612081785,1.20224698583422,0.856455647488936,0.55865304460772,0.181168877277435,0.444289756141375,0.226616354376178,0.105661242264497,0.105661242264497,0.0190114068441065,"EXC"
"3194","Exelon Corp.",47281807336,50.29,29.65,50.29,30.51,0.561786730640352,980136968,0,9031331,8141214,39.95,44.75,64281,1.24,1.14295881831953,0.023693176167486,NA,2022-02-24,2022-05-04,27.7150101619695,0.432715569236352,0.892781612081785,1.20224698583422,0.856455647488936,0.55865304460772,0.181168877277435,0.444289756141375,0.226616354376178,0.105661242264497,0.105661242264497,0.0190114068441065,"EXC"
"3193","Exelon Corp.",47281807336,50.29,29.65,50.29,30.51,0.561786730640352,980136968,0,9031331,8141214,39.95,44.75,64281,1.24,1.14295881831953,0.023693176167486,NA,2022-02-24,2022-05-04,27.7150101619695,0.432715569236352,0.892781612081785,1.20224698583422,0.856455647488936,0.55865304460772,0.181168877277435,0.444289756141375,0.226616354376178,0.105661242264497,0.105661242264497,0.0190114068441065,"EXC"
"3192","Exelon Corp.",47281807336,50.29,29.65,50.29,30.51,0.561786730640352,980136968,0,9031331,8141214,39.95,44.75,64281,1.24,1.14295881831953,0.023693176167486,NA,2022-02-24,2022-05-04,27.7150101619695,0.432715569236352,0.892781612081785,1.20224698583422,0.856455647488936,0.55865304460772,0.181168877277435,0.444289756141375,0.226616354376178,0.105661242264497,0.105661242264497,0.0190114068441065,"EXC"
"3191","Exact Sciences Corp.",11585718431,140.18,56.77,140.18,56.77,-0.467424363694573,174116598,0,1395020,1604422,80.66,69.44,4900,-3.48,0,0,NA,NA,2022-04-26,-19.4513635776201,1.39015413393815,22.5123674911661,1.90948841276782,-0.00775424992543982,-0.469969730763103,-0.145059745599383,-0.287961476725522,-0.161753590325019,0.060398406374502,0.060398406374502,-0.127115308933491,"EXAS"
"3190","Exact Sciences Corp.",11585718431,140.18,56.77,140.18,56.77,-0.467424363694573,174116598,0,1395020,1604422,80.66,69.44,4900,-3.48,0,0,NA,NA,2022-04-26,-19.4513635776201,1.39015413393815,22.5123674911661,1.90948841276782,-0.00775424992543982,-0.469969730763103,-0.145059745599383,-0.287961476725522,-0.161753590325019,0.060398406374502,0.060398406374502,-0.127115308933491,"EXAS"
