"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"3132","Equinix Inc",68186840123,878.28,659.41,885.26,662.26,0.103939127291624,90721039,0,323007,386181,759.03,721.26,10013,5.53,11.6424812684239,0.0154900563702238,NA,2022-03-04,2022-04-27,136.32160539232,0.624359117034777,3.11793937023103,1.0583161740804,0.128301958169317,0.110314217993026,-0.107565961289823,0.0100953086696498,-0.0156786063158385,0.0837142239204096,0.0837142239204096,-0.0168092509745441,"EQIX"
"3131","Equinix Inc",68186840123,878.28,659.41,885.26,662.26,0.103939127291624,90721039,0,323007,386181,759.03,721.26,10013,5.53,11.6424812684239,0.0154900563702238,NA,2022-03-04,2022-04-27,136.32160539232,0.624359117034777,3.11793937023103,1.0583161740804,0.128301958169317,0.110314217993026,-0.107565961289823,0.0100953086696498,-0.0156786063158385,0.0837142239204096,0.0837142239204096,-0.0168092509745441,"EQIX"
"3130","Equinix Inc",68186840123,878.28,659.41,885.26,662.26,0.103939127291624,90721039,0,323007,386181,759.03,721.26,10013,5.53,11.6424812684239,0.0154900563702238,NA,2022-03-04,2022-04-27,136.32160539232,0.624359117034777,3.11793937023103,1.0583161740804,0.128301958169317,0.110314217993026,-0.107565961289823,0.0100953086696498,-0.0156786063158385,0.0837142239204096,0.0837142239204096,-0.0168092509745441,"EQIX"
"3129","Equinix Inc",68186840123,878.28,659.41,885.26,662.26,0.103939127291624,90721039,0,323007,386181,759.03,721.26,10013,5.53,11.6424812684239,0.0154900563702238,NA,2022-03-04,2022-04-27,136.32160539232,0.624359117034777,3.11793937023103,1.0583161740804,0.128301958169317,0.110314217993026,-0.107565961289823,0.0100953086696498,-0.0156786063158385,0.0837142239204096,0.0837142239204096,-0.0168092509745441,"EQIX"
"3128","Equinix Inc",68186840123,878.28,659.41,885.26,662.26,0.103939127291624,90721039,0,323007,386181,759.03,721.26,10013,5.53,11.6424812684239,0.0154900563702238,NA,2022-03-04,2022-04-27,136.32160539232,0.624359117034777,3.11793937023103,1.0583161740804,0.128301958169317,0.110314217993026,-0.107565961289823,0.0100953086696498,-0.0156786063158385,0.0837142239204096,0.0837142239204096,-0.0168092509745441,"EQIX"
"3127","Bottomline Technologies (Delaware) Inc",2553375684,56.84,36.05,56.84,36.05,0.224547023295945,44977553,0,451251,737679,51.5,56.65,2000,-0.783,0,0,NA,NA,2022-05-03,-75.9820170751376,0.551793352764233,3.95807860262009,1.55720720720721,0.456014362657092,0.232522796352584,0.00531255533911823,0.488463555322496,0.0056687333923826,0.00318077398833716,0.00318077398833716,-0.00017611835153219,"EPAY"
"3126","Bottomline Technologies (Delaware) Inc",2553375684,56.84,36.05,56.84,36.05,0.224547023295945,44977553,0,451251,737679,51.5,56.65,2000,-0.783,0,0,NA,NA,2022-05-03,-75.9820170751376,0.551793352764233,3.95807860262009,1.55720720720721,0.456014362657092,0.232522796352584,0.00531255533911823,0.488463555322496,0.0056687333923826,0.00318077398833716,0.00318077398833716,-0.00017611835153219,"EPAY"
"3125","Bottomline Technologies (Delaware) Inc",2553375684,56.84,36.05,56.84,36.05,0.224547023295945,44977553,0,451251,737679,51.5,56.65,2000,-0.783,0,0,NA,NA,2022-05-03,-75.9820170751376,0.551793352764233,3.95807860262009,1.55720720720721,0.456014362657092,0.232522796352584,0.00531255533911823,0.488463555322496,0.0056687333923826,0.00318077398833716,0.00318077398833716,-0.00017611835153219,"EPAY"
"3124","Bottomline Technologies (Delaware) Inc",2553375684,56.84,36.05,56.84,36.05,0.224547023295945,44977553,0,451251,737679,51.5,56.65,2000,-0.783,0,0,NA,NA,2022-05-03,-75.9820170751376,0.551793352764233,3.95807860262009,1.55720720720721,0.456014362657092,0.232522796352584,0.00531255533911823,0.488463555322496,0.0056687333923826,0.00318077398833716,0.00318077398833716,-0.00017611835153219,"EPAY"
"3123","Bottomline Technologies (Delaware) Inc",2553375684,56.84,36.05,56.84,36.05,0.224547023295945,44977553,0,451251,737679,51.5,56.65,2000,-0.783,0,0,NA,NA,2022-05-03,-75.9820170751376,0.551793352764233,3.95807860262009,1.55720720720721,0.456014362657092,0.232522796352584,0.00531255533911823,0.488463555322496,0.0056687333923826,0.00318077398833716,0.00318077398833716,-0.00017611835153219,"EPAY"
"3122","Evolus Inc",625448696,14.3,5.06,14.3,5.06,-0.117138364779874,55694452,0,398493,441150,7.87,10.52,119,-0.9405,0,0,NA,NA,2022-05-12,-13.3614333680837,1.24917781886568,-0.0234782608695652,-0.0234782608695652,1.83585858585859,-0.173048600883652,0.725038402457757,0.613505747126437,0.936206896551724,0.11519364448858,0.11519364448858,-0.0680497925311203,"EOLS"
