"","companyName","marketcap","week52high","week52low","week52highSplitAdjustOnly","week52lowSplitAdjustOnly","week52change","sharesOutstanding","float","avg10Volume","avg30Volume","day200MovingAvg","day50MovingAvg","employees","ttmEPS","ttmDividendRate","dividendYield","nextDividendDate","exDividendDate","nextEarningsDate","peRatio","beta","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","symbol"
"376","Fate Therapeutics Inc",3235149100,97.43,30.14,97.43,30.14,-0.643047132673689,96427693,0,1177393,1348323,52.72,36.34,279,-2.24,0,0,NA,NA,2022-05-04,-15.2492757524122,1.63586837628933,4.06797583081571,5.98958333333333,0.678339169584792,-0.643047132673689,-0.426593744659033,-0.509717959959082,-0.31753458096013,-0.112433862433862,-0.119653634216741,0.0332614721281181,"FATE"
"377","Meta Platforms Inc",535438964014,384.33,186.11,384.33,186.11,-0.301005961251863,2309080018,0,33276204,36431000,313.07,233.15,58604,13.77,0,0,NA,NA,2022-04-27,13.6001768863114,1.73335690455155,3.90717151690478,0.351754449167808,0.214540040137243,-0.301005961251863,-0.442217927753828,-0.504581583881275,-0.431053828658074,-0.14547938966067,-0.177401674924365,-0.0622313306008196,"FB"
"378","First Bancshares Inc Miss",735059224,42.61,33.33,42.89,33.33,-0.0502495912569731,21019709,0,55677,50629,38.51,35.87,744,3,0.616362922382265,0.0176254767624325,NA,2022-02-09,2022-04-20,11.5375800302935,0.857863524332608,0.368726344753085,0.287431983683447,0.620819911473662,-0.0502495912569731,-0.0904385506319072,-0.0972734923150792,-0.0871286973637153,-0.0421802245960011,-0.0419178082191781,0.0355344980752146,"FBMS"
"379","First Bancorp",1551473682,50.7,37.26,50.92,37.6,-0.0777668055384849,35649671,0,128648,142144,45,44.14,1095,3.17,0.794570419507287,0.018257592360002,2022-03-30,2021-12-30,2022-04-26,16.3036714822249,0.878525038279854,1.68254496591343,0.645468156863931,0.934067496822477,-0.0777668055384849,-0.0481189851268591,0.0978920069829161,-0.0199390164259301,-0.033103754721173,-0.031166518254675,0.0120930232558141,"FBNC"
"380","First Community Bankshares Inc.",472762907,36.4,27.06,36.73,27.77,-0.0366636301993796,16806360,0,21435,22789,31.74,29.86,620,2.94,1.04666960183296,0.0372083043666177,NA,2022-02-10,2022-04-26,9.2394251641651,0.801048708422547,0.192247214345959,0.318268302512817,0.46990432297137,-0.0366636301993796,-0.150671944396639,-0.0353488244492606,-0.139863197580731,-0.0474094141550966,-0.0330010312822276,-0.0289955125992406,"FCBC"
"381","Fuelcell Energy Inc",2460474903,18.37,3.4,18.37,3.4,-0.630506607929515,366687765,0,31055846,25857509,6.58,5.02,316,-0.2839,0,0,NA,NA,2022-06-09,-24.8736330042762,1.69985511562237,-0.992786807705538,-0.600595238095238,5.15596330275229,-0.630506607929515,0.290384615384615,0.202508960573477,-0.0317460317460317,0.446120689655173,0.392116182572614,0.233455882352941,"FCEL"
"382","FirstCash Holdings Inc",3118261929,77.33,58.3,77.33,58.3,-0.0114427310066652,48487979,0,484134,378346,70.86,70.33,17000,3.04,0.300000011920929,0.00466490455482707,NA,2022-02-17,2022-04-28,24.9642694240607,0,-0.0114427310066652,-0.0114427310066652,-0.0114427310066652,-0.0114427310066652,-0.136977771574885,-0.0114427310066652,-0.0114427310066652,-0.117152043138881,-0.122670595618128,-0.0442859265864171,"FCFS"
"383","First Citizens Bancshares, Inc (NC)",10620960527,947.11,641.3,947.71,641.3,-0.174151151074932,14973229,0,141627,115862,825.39,762.11,6587,53.88,1.87831115462894,0.00264800749246322,NA,2022-02-25,2022-04-27,20.0806566774813,1.23907716921189,2.74103018751299,1.04979997017758,1.14000269110626,-0.174151151074932,-0.14467995465657,-0.178223912637995,-0.122657617793972,-0.0792616647667695,-0.103905206200466,-0.00187149973264277,"FCNCA"
"384","First Eagle Alternative Capital BDC Inc",132264336,4.79,3.65,4.89,3.9,0.188775372671645,29991913,0,66620,41273,4.5,4.45,0,0.5881,0.293629590432067,0.0665826735673621,2022-03-14,2021-12-14,2022-05-05,7.46960729259615,0.226811412515868,0.0597649772907505,-0.259458279457944,0.654597981465501,0.188775372671645,-0.0134228187919462,0.00131692475364419,-0.0515313145216794,-0.02,-0.0264900662251656,-0.0156250000000001,"FCRD"
"385","Franklin Electric Co., Inc.",3803549477,96.73,74.53,96.95,75.16,0.0353457394314518,46481113,0,167541,170877,86.99,84.44,5400,3.27,0.717768009243897,0.0087714531253073,NA,2022-02-02,2022-04-26,24.7209913277148,1.17429920508463,2.70326790878276,1.15683793799651,0.950390530964803,0.0353457394314518,-0.132677179542077,-0.0112516493235961,-0.121905260627704,-0.0155197305101059,-0.029760493241641,-0.0140963855421687,"FELE"
"386","First Financial Bancorp",2259581448,26.58,20.64,26.83,21.25,-0.0557538035417101,94149227,0,337487,278897,23.98,24.66,2107,2.14,0.90699483477727,0.0377914514490529,NA,2022-02-28,2022-04-21,11.0137524273738,0.942475974644218,1.34345249138293,0.0438050172227828,0.83547982501759,-0.0557538035417101,-0.00646213585802335,0.0984132505251789,0.0237728589283659,-0.044855952338312,-0.0467338719286957,0.0135135135135136,"FFBC"
"387","Flushing Financial Corp.",702904382,25.7,19.26,25.95,19.79,-0.0145846598265908,30481543,0,166359,167474,23.35,23.44,520,2.59,0.838489853147124,0.0363612252015231,NA,2022-03-10,2022-04-26,8.5936985020723,0.69440104701007,1.16780258519389,0.0321691217610434,0.81017497311427,-0.0145846598265908,-0.041865412421679,0.0627168868754924,-0.0286722800928364,-0.00202537781086087,0.00140700724348175,-0.0270493774550549,"FFIC"
"388","First Financial Bankshares, Inc.",6576989965,54.84,42.9,55,43.03,-0.0846282244923477,142606027,0,461569,428958,48.92,47.16,1450,1.59,0.577376567142966,0.0125190062259966,2022-03-15,2021-12-15,2022-04-21,28.9019694203777,1.02660871801949,7.75590909953866,1.37069630208387,0.99156220177306,-0.0846282244923477,-0.0928402832415422,0.0626679139727466,-0.0937030836104102,-0.025359256128487,-0.0331236897274634,-0.00129926375054145,"FFIN"
"389","F5 Inc",11809322393,249,174.34,249,174.34,-0.00892037924355182,60738170,0,500193,538757,214.77,202.04,6109,5.44,0,0,NA,NA,2022-04-26,35.0298182649011,1.13832523200626,4.23999460989085,0.332351127252792,0.977321265127632,-0.00892037924355182,-0.205467696457031,-0.0420279858100119,-0.152662773468143,-0.00709835563272387,-0.0313854431325661,-0.0364258102884329,"FFIV"
"390","FibroGen Inc",1195075289,36.13,9.88,36.13,9.88,-0.634423897581792,93001968,0,729753,820049,12.91,14.48,599,-3.14,0,0,NA,NA,2022-05-09,-4.12062246373563,0,-0.415909090909091,-0.502901353965184,-0.586018041237113,-0.634423897581792,-0.0886524822695035,0.1331569664903,-0.0814867762687634,-0.17996171027441,-0.191315292636879,-0.0100154083204931,"FGEN"
"391","First Hawaiian INC",3592250605,30.89,23.85,31.16,24.75,-0.0383856680698071,128157353,0,535717,594687,27.87,28.44,2100,2.05,1.02591468522033,0.0366005952629445,NA,2022-02-17,2022-04-22,13.518168869701,0.952100844154786,0.401710256538481,0.0733295041164084,0.736754382160317,-0.0383856680698071,0.0346991509782208,0.0722250486766456,0.0354559626452704,-0.0305700718339622,-0.0312334751518126,0.00899928005759531,"FHB"
"392","First Interstate BancSystem Inc.",1627831040,49.31,35.62,51.24,36.01,-0.201897614690155,41707175,0,786223,984633,40.31,38.15,2462,3.11,1.61529839160778,0.0413860720370941,NA,2022-02-09,2022-04-27,8.47387319234774,0.799362857449679,2.6541864449625,0.11169343123907,0.641150276888921,-0.201897614690155,-0.029941816392318,-0.0348187348533557,-0.01245875756533,0.0366533864541834,0.0506056527590848,0.0132398753894081,"FIBK"
"393","Financial Institutions Inc.",502752636,33.78,27.12,33.78,27.6,0.0479676612326405,15526641,0,52911,66726,31.57,31.98,613,4.78,1.06599487294846,0.032921398176296,2022-03-17,2021-12-16,2022-04-28,6.59460151343836,0.718665901253274,1.16193840011217,0.153310514074449,0.918644268657601,0.0479676612326405,0.0182389937106919,0.117241331718544,0.0205303732279396,0.0182389937106919,0.0172792962613888,0.0208070617906684,"FISI"
"394","Fiserv, Inc.",62160836021,127.34,89.91,127.34,89.91,-0.241520986062998,660231928,0,3653519,4291353,104.38,99.15,2020,1.99,0,0,NA,NA,2022-04-26,46.5973283517241,0.844576694661906,6.18428080885158,0.605559345156889,-0.00811209439528015,-0.241520986062998,-0.0928798535504384,-0.149349475966751,-0.0876053881190038,-0.0333675564681725,-0.0507158701351079,-0.0325729551993422,"FISV"
"395","Fifth Third Bancorp",30085320584,50.64,33.88,50.64,34.35,0.157638837730607,683757286,0,7493788,6868174,43.9,46.43,19872,3.73,1.12870790989361,0.0256524524975819,NA,2021-12-30,2022-04-19,11.3443893604827,1.25095276816096,0.609540183633903,0.910078703924778,2.00111859875044,0.157638837730607,0.0103329506314582,0.153904656005287,0.0124019235636548,-0.0935311083642356,-0.104234527687296,-0.0123456790123456,"FITB"
"396","Five Below Inc",8595414720,237.86,143.44,237.86,143.44,-0.195911949685535,56025386,0,829744,773041,186.09,163,12050,4.66,0,0,NA,NA,2022-03-30,32.7380764884537,1.68696288717322,1534199,2.98700623700624,1.13024159955568,-0.195911949685535,-0.258446517473053,-0.176401116598669,-0.23947851088088,-0.0894415098818923,-0.111020975779349,0.0251236135239876,"FIVE"
"397","Five9 Inc",6042293970,211.68,86.42,211.68,86.42,-0.481239610543814,69149622,0,1381682,1507739,142.32,115.87,1549,-0.785,0,0,NA,NA,2022-04-28,-114.005546610566,0.98980339925698,10.4371727748691,4.35088793631353,0.43363412633306,-0.481239610543814,-0.363676085056802,-0.496397902138205,-0.338280954184021,-0.331599479843953,-0.347325963549447,-0.103058920139602,"FIVN"
"398","National Beverage Corp.",3690483535,60.9,38.38,64.67,38.38,-0.172062013685894,93335446,0,202101,164079,48.11,43.25,1550,1.74,0,0,NA,NA,NA,22.5995476692448,0.678180704343488,4.01760730941277,0.314136438869723,1.29903770677675,-0.172062013685894,-0.127729980145599,-0.20105071731663,-0.180687940323249,-0.127729980145599,-0.108053237085495,-0.0737877723120168,"FIZZ"
"399","Fluidigm Corp",260051149,7.51,2.67,7.51,2.67,-0.247787610619469,76485632,0,409099,628603,4.62,3.47,627,-0.7816,0,0,NA,NA,2022-05-05,-4.39001213430795,1.24034731613883,-0.757489300998573,-0.324055666003976,0.387755102040816,-0.247787610619469,-0.13265306122449,-0.5,-0.19811320754717,-0.134860050890585,-0.141414141414141,-0.0257879656160459,"FLDM"
"400","Flex Ltd",7397535973,19.5,14.88,19.5,14.88,-0.11982330204307,464086322,0,2982225,3611217,17.69,16.54,167201,2.05,0,0,NA,NA,2022-05-05,7.33024432973305,1.41377634996763,0.388501742160279,-0.0432172869147659,0.977667493796526,-0.11982330204307,-0.130387343153301,-0.121763085399449,-0.0780798149219202,-0.0661980082015232,-0.0891428571428572,0.00822264389626803,"FLEX"
"401","First Of Long Island Corp.",492424750,23.32,18.92,23.98,19.38,0.0189968379330736,23617494,0,41254,52577,21.12,21.83,350,1.87,0.584631995048781,0.0280399038392701,2022-03-15,2022-01-04,2022-04-28,11.0394285499709,0.575414151217185,1.1921754581489,-0.0796124219215574,0.482223975772569,0.0189968379330736,-0.0253502428443878,0.0757181773155027,-0.0226318157953947,-0.0608108108108107,-0.0539927404718692,-0.022045028142589,"FLIC"
"402","Falcon Minerals Corp",271303929,6.48,3.82,6.58,4.24,0.45631067961165,46376740,0,787998,815370,5.01,5.41,12,0.1572,0.529111370868417,0.0904463881826354,NA,2022-02-25,2022-05-04,20.0179981553899,0.661784707902697,-0.396284829721362,-0.396284829721362,2.06507387613958,0.45631067961165,0.233214579336805,0.390737923164701,0.264372784645976,0.0336967469475022,0.0782416367155099,-0.00847457627118652,"FLMN"
"403","1-800 Flowers.com Inc.",495431814,38.66,13.16,38.66,13.16,-0.542574931880109,36889934,0,727948,786751,25.86,15.88,4300,1.35,0,0,NA,NA,2022-04-28,5.50443096704664,1.53714204399652,1.18019480519481,0.391709844559586,-0.0103168754605748,-0.542574931880109,-0.42533162173727,-0.589296636085627,-0.428510638297872,-0.132428940568476,-0.117028270874425,-0.0588647512263489,"FLWS"
"404","Flexsteel Industries, Inc.",120607365,50.4,18.43,51.13,18.43,-0.501545771182964,6487755,0,27532,27849,27.75,22.27,636,1.07,0.595283413462048,0.0320217005627783,2022-03-22,2021-12-21,2022-04-25,16.0232981865285,1.20104419362718,1.08996166342511,-0.553612163648326,0.761350716288941,-0.501545771182964,-0.30789277736411,-0.448107564102945,-0.376164029597812,-0.165619389587074,-0.18785495849716,-0.0705,"FLXS"
